Agents,Rounds,Rating,Kpr,Deaths,Dpr,HsPerc,Tier
omen,36,0.81,0.58,27,0.75,35.73,A
cypher,22,1.12,0.77,16,0.73,40.68,S
killjoy,14,0.47,0.36,12,0.86,33.09,B
vyse,22,1.04,0.68,13,0.59,53.7,A
fade,22,1.18,0.55,10,0.45,44.51,B
sova,36,0.3,0.31,30,0.83,38.86,S
iso,22,0.95,0.77,18,0.82,46.12,B
yoru,22,0.76,0.64,15,0.68,31.85,B
jett,14,1.37,1.0,12,0.86,51.43,S
raze,22,1.32,0.77,11,0.5,43.09,A
yoru,22,0.72,0.45,15,0.68,44.42,B
breach,44,0.91,0.48,30,0.68,30.79,B
cypher,22,0.2,0.18,17,0.77,23.21,S
cypher,44,0.88,0.59,30,0.68,47.0,S
jett,22,1.69,1.18,11,0.5,50.81,S
fade,24,1.11,0.75,17,0.71,34.6,B
sova,42,0.77,0.52,29,0.69,32.72,S
neon,44,1.38,1.05,29,0.66,54.22,C
omen,66,1.13,0.68,42,0.64,32.16,A
brimstone,17,1.48,0.76,5,0.29,58.42,B
omen,18,1.28,0.67,8,0.44,35.98,A
jett,18,1.42,1.28,14,0.78,51.67,S
raze,17,1.78,1.24,7,0.41,46.49,A
killjoy,18,1.2,0.72,10,0.56,47.55,B
vyse,17,1.64,1.29,10,0.59,43.83,A
skye,35,1.27,0.69,15,0.43,42.16,C
viper,35,1.04,0.6,13,0.37,43.37,B
brimstone,23,1.38,0.78,15,0.65,34.58,B
cypher,17,1.22,0.88,7,0.41,51.45,S
fade,23,0.88,0.7,15,0.65,37.69,B
sova,17,1.8,1.12,6,0.35,46.57,S
neon,17,1.38,0.82,9,0.53,36.01,C
raze,23,0.96,0.57,16,0.7,19.6,A
omen,17,1.41,0.94,7,0.41,44.59,A
viper,23,1.04,0.7,14,0.61,61.42,B
yoru,40,1.12,0.78,25,0.62,49.12,B
brimstone,23,1.03,0.78,17,0.74,41.73,B
harbor,24,1.17,0.83,17,0.71,40.52,C
cypher,23,0.83,0.7,17,0.74,41.26,S
