Agents,Rounds,Rating,Kpr,Deaths,Dpr,HsPerc,Tier
sova,50,0.88,0.48,30,0.6,31.02,S
vyse,20,1.55,0.75,7,0.35,37.36,A
fade,18,0.75,0.56,13,0.72,47.98,B
skye,22,0.92,0.45,14,0.64,41.55,C
jett,22,1.36,1.09,16,0.73,49.47,S
neon,18,0.5,0.67,18,1.0,41.42,C
killjoy,22,0.81,0.55,14,0.64,43.51,B
vyse,18,1.03,0.67,13,0.72,30.33,A
omen,40,0.59,0.4,30,0.75,46.38,A
viper,40,0.5,0.28,27,0.68,46.72,B
breach,15,1.17,0.6,6,0.4,40.96,B
gekko,20,1.23,1.0,17,0.85,42.85,A
vyse,26,0.66,0.69,24,0.92,27.29,A
brimstone,20,1.01,0.55,13,0.65,44.41,B
omen,41,1.15,0.71,24,0.59,46.96,A
cypher,15,1.53,1.13,10,0.67,45.44,S
viper,46,1.02,0.74,36,0.78,50.15,B
fade,26,0.74,0.42,20,0.77,35.37,B
skye,20,0.73,0.5,15,0.75,43.52,C
sova,15,0.85,0.4,6,0.4,32.64,S
neon,15,1.29,1.2,11,0.73,45.97,C
raze,46,0.7,0.52,35,0.76,37.73,A
breach,20,0.84,0.6,13,0.65,42.6,B
viper,14,0.27,0.29,14,1.0,31.94,B
brimstone,14,0.41,0.36,14,1.0,34.55,B
omen,20,1.19,0.95,14,0.7,50.51,A
fade,34,0.63,0.44,29,0.85,34.11,B
neon,20,0.94,0.85,14,0.7,30.05,C
yoru,14,0.38,0.43,14,1.0,50.3,B
raze,14,0.04,0.21,14,1.0,45.15,A
viper,20,0.82,0.5,13,0.65,29.46,B
brimstone,14,2.14,1.5,6,0.43,57.08,B
omen,20,1.05,0.65,13,0.65,37.28,A
fade,20,0.78,0.4,12,0.6,41.31,B
skye,14,1.5,0.86,5,0.36,48.07,C
neon,20,1.77,1.35,14,0.7,46.02,C
raze,14,1.81,1.14,4,0.29,42.81,A
viper,34,0.83,0.44,19,0.56,34.4,B
vyse,34,1.26,0.79,18,0.53,36.33,A
brimstone,23,1.44,0.78,12,0.52,36.99,B
omen,28,1.05,0.71,21,0.75,40.56,A
fade,28,0.85,0.64,21,0.75,34.67,B
fade,23,0.57,0.26,14,0.61,43.18,B
vyse,28,1.07,0.61,19,0.68,52.56,A
raze,51,1.09,0.8,35,0.69,37.84,A
viper,51,1.18,0.76,27,0.53,45.28,B
brimstone,19,1.23,0.89,13,0.68,47.46,B
neon,23,0.85,0.74,17,0.74,45.26,C
omen,17,1.17,0.82,7,0.41,45.53,A
chamber,17,1.3,0.94,7,0.41,52.06,C
cypher,23,0.75,0.57,17,0.74,43.64,S
gekko,19,0.39,0.26,16,0.84,25.98,A
fade,19,0.86,0.47,14,0.74,45.73,B
sova,40,1.15,0.68,22,0.55,49.5,S
omen,23,1.18,0.65,13,0.57,35.83,A
viper,19,0.92,0.74,14,0.74,41.78,B
vyse,17,1.49,1.06,9,0.53,51.83,A
yoru,59,1.03,0.86,44,0.75,40.93,B
brimstone,19,0.95,0.53,12,0.63,48.84,B
omen,40,1.03,0.65,28,0.7,59.81,A
cypher,40,0.67,0.45,32,0.8,31.81,S
viper,19,1.1,0.74,11,0.58,31.71,B
fade,19,1.45,0.95,11,0.58,47.29,B
sova,40,0.78,0.48,30,0.75,44.57,S
iso,23,1.16,0.87,16,0.7,41.25,B
raze,19,1.33,1.0,13,0.68,56.19,A
yoru,17,0.79,0.59,15,0.88,28.15,B
jett,17,0.84,0.65,17,1.0,44.04,S
yoru,42,0.89,0.67,31,0.74,35.93,B
brimstone,20,0.92,0.5,13,0.65,53.56,B
cypher,15,0.74,0.53,13,0.87,54.28,S
vyse,26,1.13,0.88,15,0.58,38.03,A
fade,46,1.09,0.65,25,0.54,37.78,B
sova,15,0.59,0.53,14,0.93,44.74,S
neon,15,0.74,0.6,13,0.87,35.94,C
raze,46,1.36,0.98,30,0.65,44.24,A
omen,41,0.79,0.59,31,0.76,40.02,A
viper,20,1.28,0.9,10,0.5,29.64,B
yoru,61,1.01,0.69,43,0.7,41.19,B
brimstone,23,0.8,0.52,16,0.7,34.08,B
omen,28,0.93,0.57,18,0.64,36.64,A
fade,51,0.58,0.37,39,0.76,49.17,B
raze,51,1.27,0.9,30,0.59,34.23,A
viper,23,1.08,0.7,13,0.57,48.95,B
vyse,28,1.27,0.79,19,0.68,40.23,A
yoru,51,0.91,0.69,35,0.69,39.14,B
chamber,18,1.29,0.83,12,0.67,49.26,C
viper,15,0.92,0.73,12,0.8,43.62,B
fade,15,0.82,0.53,12,0.8,43.46,B
vyse,18,0.97,0.72,13,0.72,49.19,A
neon,15,0.68,0.67,14,0.93,36.61,C
yoru,18,0.56,0.5,16,0.89,32.98,B
omen,33,0.72,0.36,22,0.67,29.56,A
sage,15,0.55,0.4,14,0.93,29.96,A
sova,18,0.6,0.39,13,0.72,61.73,S
chamber,17,0.84,0.71,15,0.88,50.02,C
clove,21,0.59,0.43,19,0.9,26.29,S
fade,21,0.81,0.62,17,0.81,29.14,B
sova,17,0.39,0.29,15,0.88,39.71,S
neon,17,0.22,0.29,16,0.94,39.76,C
raze,21,0.84,0.62,16,0.76,44.51,A
omen,17,1.04,0.88,14,0.82,40.2,A
tejo,21,0.75,0.52,16,0.76,38.12,S
viper,38,0.76,0.61,31,0.82,42.16,B
chamber,18,0.77,0.5,11,0.61,40.81,C
viper,15,1.42,1.2,8,0.53,30.01,B
fade,15,1.3,0.73,5,0.33,42.82,B
sova,18,1.43,0.89,9,0.5,38.09,S
omen,33,1.12,0.85,18,0.55,45.5,A
sage,15,0.91,0.33,8,0.53,62.94,A
vyse,18,0.99,0.56,10,0.56,44.06,A
yoru,18,1.23,0.78,10,0.56,40.81,B
fade,38,1.0,0.84,28,0.74,49.85,B
neon,17,2.2,1.47,9,0.53,54.32,C
raze,21,1.13,0.81,13,0.62,46.5,A
omen,38,1.14,0.79,20,0.53,48.51,A
viper,38,1.2,0.63,18,0.47,58.99,B
vyse,38,1.29,0.79,19,0.5,34.85,A
breach,23,0.96,0.7,19,0.83,44.15,B
sova,24,1.25,0.88,14,0.58,36.75,S
cypher,23,0.97,0.74,19,0.83,45.2,S
omen,24,0.88,0.63,19,0.79,32.63,A
jett,24,1.16,0.75,14,0.58,39.52,S
neon,23,0.8,0.57,19,0.83,36.7,C
killjoy,24,0.78,0.58,17,0.71,47.93,B
sova,23,0.77,0.52,18,0.78,46.31,S
omen,23,0.74,0.43,18,0.78,28.09,A
viper,24,1.04,0.5,13,0.54,41.12,B
breach,39,0.81,0.54,30,0.77,33.56,B
cypher,17,0.27,0.12,14,0.82,24.57,S
cypher,22,1.14,0.77,13,0.59,41.24,S
iso,17,1.2,0.94,13,0.76,40.85,B
viper,17,0.93,0.47,12,0.71,58.43,B
fade,17,0.49,0.47,17,1.0,40.16,B
sova,39,0.72,0.44,30,0.77,27.22,S
neon,39,0.98,0.85,30,0.77,37.82,C
yoru,17,0.94,0.76,13,0.76,49.69,B
omen,56,0.81,0.43,35,0.62,56.05,A
breach,19,0.69,0.47,15,0.79,25.69,B
fade,20,0.88,0.6,15,0.75,24.96,B
omen,18,1.66,1.11,11,0.61,61.19,A
cypher,19,0.55,0.42,15,0.79,41.0,S
omen,20,0.8,0.7,15,0.75,34.05,A
viper,18,1.25,0.67,10,0.56,46.5,B
killjoy,18,1.31,0.89,9,0.5,23.81,B
omen,19,1.05,0.68,14,0.74,40.91,A
viper,20,1.57,0.95,9,0.45,48.52,B
neon,18,1.19,0.78,8,0.44,51.67,C
raze,39,0.97,0.67,31,0.79,32.27,A
sova,37,0.95,0.57,26,0.7,40.79,S
vyse,20,1.85,1.1,10,0.5,39.6,A
breach,22,0.51,0.23,17,0.77,38.18,B
killjoy,17,1.15,0.71,8,0.47,36.18,B
vyse,17,0.8,0.53,9,0.53,37.8,A
cypher,22,0.83,0.59,16,0.73,32.09,S
viper,34,1.64,0.85,10,0.29,51.39,B
fade,39,1.42,0.92,25,0.64,50.95,B
sova,17,1.22,0.71,7,0.41,41.94,S
neon,39,1.02,0.69,25,0.64,42.09,C
raze,17,1.34,1.0,9,0.53,34.17,A
omen,56,1.22,0.84,33,0.59,41.28,A
chamber,21,1.53,1.0,12,0.57,45.04,C
viper,22,1.16,0.73,14,0.64,63.15,B
fade,22,0.92,0.73,16,0.73,32.56,B
vyse,21,0.79,0.62,14,0.67,52.55,A
omen,43,1.05,0.79,30,0.7,50.27,A
sova,21,0.99,0.48,13,0.62,42.09,S
tejo,22,0.68,0.45,15,0.68,53.13,S
yoru,43,1.27,1.0,31,0.72,47.22,B
chamber,19,1.37,0.95,12,0.63,47.57,C
jett,22,1.25,1.05,17,0.77,43.92,S
cypher,22,1.21,0.82,14,0.64,52.87,S
neon,19,1.36,1.05,11,0.58,54.63,C
sova,19,1.39,0.74,9,0.47,38.63,S
omen,22,1.64,0.95,11,0.5,34.95,A
viper,19,1.12,0.74,10,0.53,41.54,B
omen,19,1.32,0.89,12,0.63,37.46,A
sova,22,0.98,0.59,14,0.64,40.27,S
chamber,22,1.16,0.73,15,0.68,51.76,C
viper,19,0.16,0.21,18,0.95,30.84,B
fade,19,0.95,0.68,15,0.79,40.14,B
vyse,22,0.57,0.45,18,0.82,38.4,A
neon,19,0.95,0.74,16,0.84,47.47,C
yoru,22,1.15,0.77,15,0.68,24.28,B
omen,41,0.81,0.61,34,0.83,34.61,A
sage,19,0.83,0.68,17,0.89,41.37,A
sova,22,0.48,0.5,20,0.91,47.32,S
cypher,23,1.4,0.91,15,0.65,39.96,S
vyse,38,1.14,0.66,19,0.5,27.59,A
fade,15,1.28,0.67,7,0.47,47.9,B
sova,46,1.15,0.8,31,0.67,37.56,S
neon,23,0.69,0.61,18,0.78,30.34,C
omen,15,1.2,0.93,8,0.53,40.07,A
neon,23,1.26,1.0,17,0.74,42.6,C
raze,15,2.24,1.6,7,0.47,47.4,A
yoru,23,0.84,0.7,19,0.83,22.72,B
omen,46,1.01,0.52,31,0.67,47.02,A
viper,15,1.03,0.67,9,0.6,52.1,B
cypher,37,1.37,0.97,25,0.68,49.47,S
viper,20,0.86,0.6,14,0.7,31.3,B
fade,20,0.41,0.3,17,0.85,34.59,B
sova,37,1.12,0.62,23,0.62,41.19,S
neon,37,0.52,0.43,27,0.73,43.25,C
yoru,20,0.39,0.45,18,0.9,42.65,B
omen,57,0.9,0.56,37,0.65,34.53,A
raze,20,1.31,1.1,15,0.75,45.66,A
yoru,37,1.07,0.86,30,0.81,45.78,B
cypher,23,1.12,0.96,14,0.61,56.37,S
killjoy,24,0.77,0.46,17,0.71,44.56,B
harbor,24,0.75,0.5,16,0.67,45.95,C
viper,23,0.92,0.65,15,0.65,41.97,B
jett,24,1.22,0.92,17,0.71,54.8,S
neon,23,1.28,1.0,14,0.61,48.4,C
omen,23,1.33,0.78,11,0.48,37.07,A
viper,24,1.23,0.83,15,0.62,54.57,B
sova,47,0.88,0.57,29,0.62,46.32,S
cypher,46,0.95,0.63,31,0.67,37.4,S
vyse,15,0.3,0.33,14,0.93,32.02,A
fade,15,0.47,0.47,14,0.93,39.63,B
sova,46,0.81,0.54,31,0.67,43.75,S
neon,46,0.72,0.5,34,0.74,40.66,C
raze,15,0.78,0.67,13,0.87,42.23,A
omen,61,0.86,0.69,51,0.84,53.78,A
yoru,61,1.13,0.87,47,0.77,51.11,B
deadlock,21,0.7,0.52,16,0.76,40.65,C
viper,22,1.07,0.68,15,0.68,48.89,B
fade,22,0.47,0.41,19,0.86,28.96,B
sova,21,0.71,0.48,15,0.71,42.3,S
neon,22,1.47,1.09,19,0.86,58.49,C
yoru,21,1.38,1.05,15,0.71,43.08,B
omen,43,0.88,0.7,32,0.74,34.3,A
vyse,43,0.81,0.56,32,0.74,34.46,A
astra,22,1.08,0.45,10,0.45,32.18,A
brimstone,49,0.89,0.59,32,0.65,34.42,B
omen,124,0.92,0.6,84,0.68,37.6,A
viper,47,0.98,0.66,31,0.66,30.08,B
cypher,61,0.97,0.8,46,0.75,42.12,S
killjoy,61,0.92,0.62,44,0.72,47.66,B
viper,49,1.32,0.9,27,0.55,37.34,B
vyse,71,1.07,0.72,47,0.66,54.07,A
fade,94,0.73,0.43,65,0.69,42.87,B
skye,26,0.96,0.58,19,0.73,48.2,C
sova,122,0.65,0.45,87,0.71,33.56,S
harbor,47,0.78,0.6,33,0.7,47.24,C
iso,22,0.95,0.77,18,0.82,32.4,B
viper,23,0.92,0.65,15,0.65,48.42,B
yoru,136,0.81,0.65,100,0.74,41.95,B
jett,61,1.39,0.98,40,0.66,48.95,S
neon,23,1.28,1.0,14,0.61,35.72,C
raze,136,1.03,0.74,90,0.66,34.96,A
yoru,22,0.72,0.45,15,0.68,43.84,B
breach,84,1.01,0.57,56,0.67,32.75,B
brimstone,21,0.81,0.48,15,0.71,42.83,B
deadlock,19,0.74,0.63,16,0.84,28.64,C
killjoy,98,1.07,0.77,59,0.6,49.69,B
vyse,204,1.04,0.67,125,0.61,31.96,A
cypher,103,1.05,0.69,63,0.61,46.44,S
fade,21,0.77,0.38,12,0.57,44.25,B
sage,59,0.79,0.44,38,0.64,33.71,A
viper,243,1.25,0.7,121,0.5,47.66,B
fade,288,1.11,0.76,194,0.67,44.32,B
sova,117,1.26,0.84,73,0.62,39.13,S
yoru,21,0.8,0.67,16,0.76,32.55,B
jett,59,0.93,0.83,45,0.76,26.52,S
neon,205,1.14,0.85,143,0.7,45.7,C
raze,143,1.16,0.85,96,0.67,30.62,A
yoru,19,0.45,0.47,16,0.84,38.74,B
omen,346,1.05,0.68,213,0.62,39.73,A
viper,80,1.07,0.69,52,0.65,47.13,B
breach,66,1.0,0.59,46,0.7,37.88,B
fade,129,1.09,0.78,88,0.68,39.72,B
harbor,63,1.14,0.67,37,0.59,47.83,C
omen,101,0.92,0.58,76,0.75,42.48,A
brimstone,90,1.22,0.76,59,0.66,44.85,B
cypher,19,0.55,0.42,15,0.79,41.63,S
deadlock,17,0.25,0.24,15,0.88,23.08,C
killjoy,63,0.9,0.68,44,0.7,47.25,B
omen,295,1.06,0.71,194,0.66,46.72,A
viper,84,1.16,0.73,53,0.63,34.13,B
cypher,47,0.74,0.51,32,0.68,37.71,S
killjoy,84,1.13,0.74,51,0.61,42.21,B
omen,19,1.05,0.68,14,0.74,39.8,A
viper,380,1.09,0.72,229,0.6,45.07,B
vyse,38,1.05,0.61,21,0.55,53.15,A
fade,90,0.76,0.49,64,0.71,47.87,B
sova,349,1.16,0.76,222,0.64,31.98,S
vyse,129,1.32,0.79,70,0.54,48.56,A
jett,101,1.25,0.89,62,0.61,54.65,S
neon,148,1.05,0.8,108,0.73,45.25,C
raze,238,0.89,0.69,182,0.76,49.55,A
breach,40,0.97,0.7,32,0.8,56.7,B
fade,82,0.74,0.5,64,0.78,46.95,B
sova,86,0.89,0.56,57,0.66,42.31,S
brimstone,17,0.93,0.65,13,0.76,48.78,B
chamber,86,1.15,0.92,65,0.76,44.28,C
clove,65,0.7,0.65,56,0.86,39.81,S
jett,121,0.96,0.75,94,0.78,38.45,S
chamber,24,1.59,1.25,15,0.62,60.05,C
gekko,17,0.48,0.35,15,0.88,29.91,A
omen,86,1.1,0.83,64,0.74,54.64,A
sova,121,1.12,0.68,84,0.69,45.28,S
tejo,41,0.79,0.51,31,0.76,27.83,S
cypher,121,0.82,0.51,86,0.71,42.36,S
neon,86,0.79,0.64,64,0.74,23.68,C
raze,82,0.96,0.68,61,0.74,45.88,A
omen,121,0.91,0.61,85,0.7,47.58,A
viper,168,0.77,0.52,122,0.73,34.62,B
breach,119,0.94,0.6,81,0.68,41.55,B
cypher,78,0.36,0.28,65,0.83,51.79,S
killjoy,15,2.08,1.4,8,0.53,45.71,B
viper,40,0.61,0.48,31,0.78,30.09,B
brimstone,14,0.41,0.36,14,1.0,47.45,B
omen,238,0.88,0.57,163,0.68,55.96,A
cypher,82,1.14,0.76,48,0.59,42.91,S
iso,35,1.0,0.8,29,0.83,49.45,B
jett,58,1.17,0.9,37,0.64,54.61,S
raze,14,0.04,0.21,14,1.0,28.16,A
viper,37,0.87,0.49,25,0.68,35.58,B
vyse,26,1.61,1.0,13,0.5,55.85,A
fade,101,0.85,0.6,84,0.83,52.84,B
sova,151,0.95,0.6,105,0.7,44.9,S
neon,145,1.09,0.91,109,0.75,36.06,C
yoru,49,0.71,0.65,43,0.88,55.36,B
breach,75,0.9,0.61,57,0.76,35.77,B
gekko,65,0.94,0.69,50,0.77,38.06,A
sova,48,0.94,0.65,31,0.65,44.04,S
vyse,48,0.97,0.77,35,0.73,54.29,A
brimstone,65,0.97,0.58,43,0.66,47.35,B
omen,163,0.73,0.47,120,0.74,42.1,A
viper,48,1.29,0.83,29,0.6,47.21,B
cypher,115,1.11,0.83,80,0.7,43.05,S
omen,48,1.02,0.75,36,0.75,45.97,A
viper,113,0.96,0.69,82,0.73,20.82,B
fade,48,0.67,0.4,35,0.73,35.79,B
killjoy,48,0.73,0.56,35,0.73,41.69,B
skye,65,0.92,0.6,45,0.69,31.27,C
sova,115,0.78,0.5,79,0.69,42.57,S
jett,88,1.12,0.72,50,0.57,41.0,S
neon,97,0.89,0.73,81,0.84,54.62,C
raze,91,1.02,0.76,67,0.74,54.26,A
breach,16,0.61,0.5,15,0.94,33.75,B
deadlock,15,1.09,0.87,12,0.8,41.09,C
killjoy,31,0.21,0.32,30,0.97,34.85,B
sage,77,0.72,0.49,63,0.82,34.73,A
skye,17,0.37,0.35,15,0.88,38.02,C
sova,40,0.54,0.45,33,0.82,31.87,S
brimstone,17,0.72,0.35,13,0.76,28.38,B
omen,179,0.72,0.49,139,0.78,43.64,A
chamber,40,1.22,0.78,27,0.68,47.4,C
cypher,31,0.85,0.65,28,0.9,32.87,S
viper,125,0.77,0.56,103,0.82,46.2,B
deadlock,17,0.61,0.47,15,0.88,32.61,C
fade,60,1.01,0.7,48,0.8,42.63,B
sova,79,0.83,0.66,70,0.89,46.04,S
vyse,40,0.75,0.58,31,0.78,39.29,A
neon,111,0.72,0.68,102,0.92,43.08,C
raze,17,0.57,0.47,16,0.94,33.05,A
yoru,55,0.89,0.67,44,0.8,38.73,B
brimstone,31,1.78,1.1,11,0.35,46.55,B
iso,48,0.94,0.69,32,0.67,35.57,B
omen,363,1.02,0.68,249,0.69,39.87,A
deadlock,21,0.7,0.52,16,0.76,26.73,C
viper,421,0.91,0.59,272,0.65,36.77,B
fade,150,0.79,0.51,108,0.72,37.06,B
skye,223,1.01,0.6,139,0.62,38.99,C
sova,69,0.95,0.61,44,0.64,39.05,S
jett,108,1.15,0.94,76,0.7,43.31,S
neon,118,1.19,0.97,96,0.81,47.06,C
raze,195,1.14,0.85,137,0.7,49.9,A
yoru,21,1.38,1.05,15,0.71,39.62,B
killjoy,156,0.88,0.63,107,0.69,31.15,B
vyse,286,1.03,0.73,201,0.7,33.36,A
brimstone,65,1.19,0.77,39,0.6,39.0,B
omen,387,1.13,0.79,251,0.65,39.88,A
chamber,45,1.26,0.87,30,0.67,37.18,C
deadlock,45,0.94,0.69,33,0.73,30.69,C
viper,21,0.91,0.62,12,0.57,37.99,B
chamber,161,1.1,0.75,100,0.62,43.99,C
deadlock,20,1.02,0.6,10,0.5,46.76,C
viper,86,1.07,0.73,55,0.64,37.72,B
vyse,74,0.81,0.53,50,0.68,36.56,A
fade,134,1.08,0.72,87,0.65,34.59,B
sage,101,1.1,0.63,60,0.59,41.33,A
viper,98,1.35,0.88,57,0.58,37.37,B
vyse,119,1.02,0.72,74,0.62,46.83,A
fade,178,1.08,0.67,104,0.58,27.77,B
sova,140,1.31,0.81,83,0.59,40.5,S
tejo,134,0.86,0.57,86,0.64,42.99,S
neon,87,0.92,0.77,68,0.78,42.93,C
yoru,327,1.08,0.8,220,0.67,64.18,B
brimstone,42,1.12,0.83,30,0.71,45.42,B
harbor,39,0.93,0.72,32,0.82,32.61,C
neon,116,0.85,0.66,86,0.74,39.92,C
omen,161,1.15,0.82,106,0.66,28.71,A
sage,24,0.95,0.54,15,0.62,39.8,A
chamber,55,0.84,0.64,37,0.67,34.38,C
cypher,139,0.91,0.61,92,0.66,48.14,S
gekko,42,0.67,0.43,29,0.69,34.38,A
killjoy,104,0.71,0.62,82,0.79,38.95,B
vyse,123,0.89,0.58,81,0.66,35.44,A
fade,171,0.89,0.51,104,0.61,54.13,B
sova,292,1.01,0.63,186,0.64,38.61,S
jett,86,0.89,0.73,67,0.78,55.72,S
neon,81,1.03,0.88,62,0.77,49.15,C
raze,106,1.1,0.89,82,0.77,46.6,A
yoru,190,1.28,1.0,138,0.73,47.11,B
omen,197,1.08,0.66,124,0.63,44.71,A
viper,234,1.1,0.67,151,0.65,26.08,B
vyse,32,0.94,0.66,22,0.69,38.85,A
brimstone,104,1.04,0.62,68,0.65,47.76,B
cypher,135,0.79,0.59,99,0.73,39.67,S
fade,43,1.12,0.65,24,0.56,30.78,B
killjoy,49,0.76,0.51,36,0.73,38.84,B
vyse,41,0.82,0.68,29,0.71,54.75,A
chamber,43,1.4,0.91,22,0.51,55.0,C
jett,49,1.42,1.12,35,0.71,45.02,S
yoru,280,1.05,0.77,195,0.7,49.71,B
fade,145,0.96,0.61,84,0.58,38.53,B
sova,227,1.12,0.78,155,0.68,28.73,S
neon,135,0.77,0.53,99,0.73,32.06,C
omen,23,0.8,0.61,17,0.74,52.68,A
raze,145,1.3,0.89,91,0.63,41.67,A
sage,26,0.92,0.5,16,0.62,38.09,A
yoru,43,0.9,0.6,30,0.7,38.0,B
omen,219,0.95,0.67,161,0.74,56.01,A
viper,153,0.98,0.71,100,0.65,54.91,B
brimstone,59,0.76,0.53,46,0.78,56.81,B
fade,39,0.81,0.49,26,0.67,38.27,B
omen,236,1.0,0.62,146,0.62,43.6,A
cypher,190,0.99,0.65,126,0.66,29.09,S
viper,87,1.03,0.7,56,0.64,53.7,B
vyse,57,0.8,0.51,40,0.7,30.16,A
fade,87,0.99,0.7,60,0.69,43.21,B
sova,190,1.03,0.68,128,0.67,32.66,S
viper,57,0.66,0.46,42,0.74,33.97,B
iso,86,1.13,0.78,57,0.66,35.82,B
omen,39,0.96,0.59,28,0.72,35.28,A
raze,87,0.99,0.79,67,0.77,37.43,A
skye,18,0.72,0.39,12,0.67,34.15,C
yoru,104,1.34,0.98,70,0.67,51.11,B
jett,48,1.08,0.69,33,0.69,32.54,S
neon,95,0.63,0.47,71,0.75,40.46,C
raze,18,0.82,0.56,14,0.78,49.1,A
yoru,173,0.96,0.73,129,0.75,37.19,B
astra,22,0.87,0.55,15,0.68,34.32,A
cypher,41,1.16,0.8,24,0.59,41.44,S
breach,21,0.44,0.38,19,0.9,46.04,B
gekko,22,1.08,0.68,15,0.68,42.91,A
omen,20,0.84,0.5,14,0.7,35.15,A
deadlock,22,0.51,0.36,16,0.73,41.63,C
fade,21,0.95,0.57,14,0.67,31.52,B
sova,20,1.29,0.65,9,0.45,48.35,S
neon,20,1.11,0.85,15,0.75,45.77,C
omen,21,1.03,0.76,16,0.76,39.06,A
yoru,42,1.29,0.98,27,0.64,37.97,B
breach,18,0.65,0.44,14,0.78,31.07,B
fade,30,1.0,0.67,23,0.77,44.82,B
deadlock,30,0.86,0.63,23,0.77,49.97,C
fade,18,1.04,0.67,13,0.72,35.84,B
neon,30,0.75,0.6,24,0.8,43.27,C
omen,48,0.99,0.67,31,0.65,24.8,A
viper,48,0.82,0.56,35,0.73,35.08,B
brimstone,22,1.06,0.64,13,0.59,41.43,B
omen,41,1.09,0.8,32,0.78,34.48,A
cypher,41,0.85,0.61,30,0.73,32.77,S
viper,22,1.47,1.09,14,0.64,40.44,B
gekko,22,1.27,0.77,12,0.55,45.64,A
neon,41,0.97,0.68,30,0.73,39.46,C
sova,41,1.01,0.59,23,0.56,23.51,S
raze,22,0.96,0.68,17,0.77,23.67,A
yoru,41,0.87,0.63,31,0.76,35.37,B
cypher,30,0.99,0.77,21,0.7,45.76,S
vyse,18,0.94,0.39,6,0.33,19.28,A
deadlock,30,1.34,1.0,19,0.63,40.96,C
yoru,18,1.13,0.83,10,0.56,39.61,B
fade,18,1.11,0.61,10,0.56,52.73,B
sova,30,1.2,0.9,22,0.73,40.08,S
omen,48,0.96,0.54,26,0.54,44.14,A
raze,18,1.66,1.39,11,0.61,50.15,A
yoru,30,0.56,0.47,22,0.73,21.82,B
astra,24,1.03,0.54,16,0.67,46.19,A
cypher,22,1.25,0.91,13,0.59,46.1,S
vyse,20,1.2,0.75,10,0.5,47.57,A
deadlock,22,1.03,0.68,14,0.64,73.09,C
fade,24,0.84,0.46,14,0.58,23.29,B
omen,20,1.02,0.45,9,0.45,54.7,A
deadlock,24,0.89,0.75,16,0.67,39.84,C
yoru,42,1.04,0.71,28,0.67,44.04,B
fade,20,1.43,1.0,11,0.55,45.24,B
gekko,24,0.65,0.5,17,0.71,35.93,A
sova,22,0.99,0.68,13,0.59,37.52,S
omen,22,1.01,0.59,12,0.55,44.14,A
raze,44,1.08,0.89,31,0.7,31.16,A
brimstone,19,1.34,0.84,10,0.53,50.16,B
omen,21,1.41,0.9,12,0.57,41.11,A
fade,19,0.92,0.58,11,0.58,32.12,B
viper,21,0.77,0.48,13,0.62,36.24,B
raze,40,1.61,1.1,25,0.62,56.1,A
sage,21,1.22,0.71,12,0.57,38.26,A
viper,19,0.98,0.63,12,0.63,44.13,B
sova,21,1.03,0.67,13,0.62,35.89,S
yoru,19,1.08,0.63,12,0.63,47.32,B
brimstone,24,1.1,0.58,15,0.62,46.32,B
omen,42,0.38,0.31,32,0.76,51.81,A
fade,66,0.93,0.52,43,0.65,38.6,B
neon,22,1.08,0.86,16,0.73,48.11,C
raze,44,1.08,0.8,34,0.77,42.62,A
viper,66,1.02,0.61,43,0.65,51.27,B
vyse,66,0.98,0.74,48,0.73,35.81,A
brimstone,19,0.71,0.42,15,0.79,43.84,B
omen,21,0.85,0.48,14,0.67,37.88,A
cypher,21,1.08,0.9,15,0.71,42.81,S
viper,19,0.88,0.74,15,0.79,41.81,B
gekko,19,0.6,0.42,14,0.74,40.3,A
neon,21,0.53,0.43,18,0.86,36.49,C
sova,21,0.73,0.48,15,0.71,40.84,S
raze,19,0.58,0.53,16,0.84,51.2,A
yoru,21,1.07,0.86,16,0.76,50.4,B
astra,20,0.75,0.45,14,0.7,45.85,A
cypher,24,0.89,0.63,17,0.71,36.98,S
deadlock,20,0.9,0.7,15,0.75,33.89,C
yoru,24,1.15,0.92,19,0.79,50.52,B
deadlock,24,0.67,0.42,18,0.75,45.21,C
fade,20,0.36,0.25,17,0.85,47.48,B
gekko,20,1.13,0.8,15,0.75,37.17,A
sova,24,0.8,0.58,20,0.83,37.32,S
omen,24,1.02,0.71,18,0.75,27.98,A
raze,20,1.08,0.8,17,0.85,38.06,A
brimstone,20,1.57,1.05,9,0.45,54.87,B
fade,44,1.06,0.68,27,0.61,38.19,B
omen,24,1.25,0.83,17,0.71,47.74,A
raze,20,1.09,0.8,14,0.7,40.88,A
viper,20,0.93,0.65,15,0.75,43.09,B
vyse,24,0.82,0.46,14,0.58,30.78,A
yoru,44,1.3,0.95,24,0.55,45.78,B
astra,21,0.73,0.62,17,0.81,15.79,A
neon,20,1.11,0.75,13,0.65,40.8,C
omen,20,0.86,0.65,17,0.85,26.66,A
raze,19,1.22,0.95,13,0.68,53.71,A
cypher,40,0.88,0.55,29,0.72,45.96,S
viper,40,0.93,0.63,28,0.7,44.43,B
fade,40,0.88,0.6,29,0.72,52.41,B
sova,40,0.75,0.5,30,0.75,31.41,S
omen,39,1.18,0.72,25,0.64,56.06,A
tejo,41,0.6,0.41,33,0.8,45.16,S
yoru,80,0.87,0.71,64,0.8,38.81,B
brimstone,21,0.95,0.76,16,0.76,50.6,B
omen,39,1.26,0.92,26,0.67,34.99,A
